abm_id,customer_id,amount_cad,debit_credit,cash_indicator,country,province,city,transaction_date,transaction_time,trans_id,customer_id_1,country_1,province_1,city_1,industry_code,employee_count,sales,established_date,onboard_date,industry_code_1,industry
ABM00000000000016231,SYNCID0000012983,1895.21,credit,false,CA,,other,2022-11-01,17:36:15,ABM00000000000016231,SYNCID0000012983,CA,,other,4564,1.0,35004.0,2014-12-23,,4564,Dry Bulk Materials Trucking Industry
ABM00000000000000524,SYNCID0000000352,1374.65,credit,false,CA,,other,2022-11-01,09:22:04,ABM00000000000000524,SYNCID0000000352,CA,ON,WASAGA BEACH,8521,0.0,0.0,2016-05-07,,8521,Post-Secondary Non-University Education
ABM00000000000004178,SYNCID0000003012,5290.02,credit,false,CA,ON,BARRIE,2022-11-01,18:06:58,ABM00000000000004178,SYNCID0000003012,CA,ON,BURLINGTON,4022,2.0,0.0,1997-01-17,1997-07-20,4022,Commercial Building
ABM00000000000016509,SYNCID0000013291,139.07,credit,true,CA,ON,DUNDAS,2022-11-01,13:46:48,ABM00000000000016509,SYNCID0000013291,CA,ON,TORONTO,3199,1.0,50994.0,2017-02-15,,3199,Other Machinery and Equipment Industries n.e.c.
ABM00000000000021466,SYNCID0000016811,1068.63,debit,true,CA,ON,KANATA,2022-11-01,13:26:04,ABM00000000000021466,SYNCID0000016811,CA,NS,HALIFAX,6213,2.0,0.0,2022-08-11,2023-09-21,6213,Furniture Refinishing and Repair Shops
ABM00000000000014068,SYNCID0000011213,530.28,debit,true,CA,ON,LONDON,2022-11-01,22:18:58,ABM00000000000014068,SYNCID0000011213,CA,ON,LONDON,9931,,0.0,2006-05-28,2007-11-05,9931,Photographers
ABM00000000000005461,SYNCID0000004176,967.16,credit,false,CA,ON,LONDON,2022-11-01,11:39:44,ABM00000000000005461,SYNCID0000004176,CA,AB,EDMONTON,3081,1.0,0.0,2014-05-07,2015-06-20,3081,Machine Shop Industry
ABM00000000000015016,SYNCID0000012058,106.95,debit,true,CA,ON,OTTAWA,2022-11-01,10:26:57,ABM00000000000015016,SYNCID0000012058,CA,ON,OTTAWA,8666,,193734.0,2017-01-17,2017-02-19,8666,Offices of Optometrists
ABM00000000000008443,SYNCID0000006343,1295.71,credit,true,CA,ON,OTTAWA,2022-11-01,07:45:50,ABM00000000000008443,SYNCID0000006343,CA,ON,PETROLIA,9221,,228904.0,2021-05-20,2023-01-03,9221,"Taverns, Bars and Night Clubs"
ABM00000000000009879,SYNCID0000007441,5185.25,credit,false,CA,NS,AMHERST,2022-11-01,12:13:23,ABM00000000000009879,SYNCID0000007441,CA,AB,CALGARY,7752,1.0,0.0,2021-03-24,2022-02-01,7752,Offices of Engineers
ABM00000000000008597,SYNCID0000006445,105.27,debit,true,CA,AB,CALGARY,2022-11-01,11:56:40,ABM00000000000008597,SYNCID0000006445,CA,ON,BOWMANVILLE,4581,1.0,129778.0,2015-11-15,2021-06-09,4581,Taxicab Industry
ABM00000000000004108,SYNCID0000002959,102.92,debit,true,CA,AB,CALGARY,2022-11-01,11:55:11,ABM00000000000004108,SYNCID0000002959,CA,,other,4272,2.0,55181.0,2020-12-16,2021-09-27,4272,Drywall Work
ABM00000000000006859,SYNCID0000005226,410.54,debit,true,CA,NS,HALIFAX,2022-11-01,14:52:46,ABM00000000000006859,SYNCID0000005226,CA,,other,9654,0.0,0.0,2000-08-17,2000-09-23,9654,Boat Rentals and Marinas
ABM00000000000002490,SYNCID0000001861,195.98,credit,true,CA,ON,SUDBURY,2022-11-01,15:08:04,ABM00000000000002490,SYNCID0000001861,CA,ON,NORTH YORK,7749,2.0,0.0,,2022-12-16,7749,Other Advertising Services
ABM00000000000012387,SYNCID0000009741,1060.68,debit,true,CA,ON,TORONTO,2022-11-01,15:54:11,ABM00000000000012387,SYNCID0000009741,CA,MB,WINNIPEG,4021,1.0,134636.0,2020-05-26,2020-06-03,4021,Manufacturing and Light Industrial Building
ABM00000000000016979,SYNCID0000013578,1550.39,credit,false,CA,ON,TORONTO,2022-11-01,11:07:12,ABM00000000000016979,SYNCID0000013578,CA,,other,4564,1.0,1180199.0,1997-10-14,,4564,Dry Bulk Materials Trucking Industry
ABM00000000000018982,SYNCID0000015014,946.24,debit,true,CA,ON,TORONTO,2022-11-01,12:44:20,ABM00000000000018982,SYNCID0000015014,CA,AB,AIRDRIE,4214,1.0,0.0,2022-08-02,2022-12-21,4214,Excavating and Grading
ABM00000000000013106,SYNCID0000010338,9161.25,credit,false,CA,ON,TORONTO,2022-11-01,10:54:57,ABM00000000000013106,SYNCID0000010338,CA,BC,FORT ST. JOHN,4226,1.0,0.0,2023-08-11,2023-09-11,4226,Rough and Framing Carpentry
ABM00000000000011291,SYNCID0000008773,177.01,debit,true,CA,ON,TORONTO,2022-11-01,10:43:14,ABM00000000000011291,SYNCID0000008773,CA,NL,BAY ROBERTS,8665,,125100.0,2001-05-19,2001-07-19,8665,Offices of Physiotherapists-Occupational Therapists
ABM00000000000002417,SYNCID0000001799,1601.1,credit,false,CA,ON,TORONTO,2022-11-01,11:12:36,ABM00000000000002417,SYNCID0000001799,CA,ON,BANCROFT,4931,1.0,0.0,2021-02-18,2021-10-23,4931,Water Systems Industry
ABM00000000000012714,SYNCID0000009990,2052.22,debit,false,CA,ON,VAUGHAN,2022-11-01,12:40:43,ABM00000000000012714,SYNCID0000009990,CA,,other,5221,1.0,,2016-09-17,2016-04-06,5221,"Beverages, Wholesale"
ABM00000000000021491,SYNCID0000016855,10.56,credit,true,CA,ON,BRAMPTON,2022-11-01,12:58:13,ABM00000000000021491,SYNCID0000016855,CA,,other,4235,3.0,,2002-08-16,2009-09-27,4235,Roof Shingling
ABM00000000000020979,SYNCID0000016433,325.46,debit,true,CA,ON,BRAMPTON,2022-11-01,13:36:05,ABM00000000000020979,SYNCID0000016433,CA,ON,TORONTO,9931,0.0,0.0,2008-07-18,2017-02-07,9931,Photographers
ABM00000000000006314,SYNCID0000004856,517.56,debit,true,CA,QC,BROSSARD,2022-11-01,17:05:20,ABM00000000000006314,SYNCID0000004856,CA,,other,5621,1.0,699837.0,1955-09-04,1991-09-14,5621,"Hardware, Wholesale"
ABM00000000000020837,SYNCID0000016339,435.62,debit,true,CA,AB,EDMONTON,2022-11-01,09:46:11,ABM00000000000020837,SYNCID0000016339,CA,AB,CALGARY,9821,4.0,453078.0,,2004-07-23,9821,Business Associations
ABM00000000000012400,SYNCID0000009741,1069.0,credit,true,CA,AB,EDMONTON,2022-11-01,23:54:32,ABM00000000000012400,SYNCID0000009741,CA,MB,WINNIPEG,4021,1.0,134636.0,2020-05-26,2020-06-03,4021,Manufacturing and Light Industrial Building
ABM00000000000002453,SYNCID0000001830,423.99,debit,true,CA,AB,EDMONTON,2022-11-01,09:50:20,ABM00000000000002453,SYNCID0000001830,CA,AB,CALGARY,8666,1.0,0.0,2001-07-15,2002-08-22,8666,Offices of Optometrists
ABM00000000000010647,SYNCID0000008293,410.45,debit,true,CA,QC,GATINEAU,2022-11-01,14:44:11,ABM00000000000010647,SYNCID0000008293,CA,ON,WOODBRIDGE,6239,2.0,135427.0,2020-12-14,2021-02-11,6239,Other Household Furnishings Stores
ABM00000000000009399,SYNCID0000007158,20.59,credit,true,CA,ON,HAMILTON,2022-11-01,09:09:26,ABM00000000000009399,SYNCID0000007158,CA,,other,6011,10.0,,2018-10-14,2020-11-25,6011,Food (Groceries) Stores
ABM00000000000005851,SYNCID0000004528,253.46,credit,false,CA,ON,KINGSTON,2022-11-01,13:38:33,ABM00000000000005851,SYNCID0000004528,CA,,other,5731,1.0,,,,5731,"Industrial Machinery, Equipment and Supplies, Wholesale"
ABM00000000000019436,SYNCID0000015288,1069.63,debit,true,CA,BC,LANGFORD,2022-11-01,14:12:57,ABM00000000000019436,SYNCID0000015288,CA,BC,MCBRIDE,9214,1.0,1.0,2015-08-02,2015-09-18,9214,Caterers
ABM00000000000020989,SYNCID0000016443,1396.22,credit,false,CA,QC,MONTREAL,2022-11-01,22:30:38,ABM00000000000020989,SYNCID0000016443,CA,NB,other,4235,1.0,0.0,,2022-07-18,4235,Roof Shingling
ABM00000000000020194,SYNCID0000015899,1792.74,credit,false,CA,QC,MONTREAL,2022-11-01,13:09:43,ABM00000000000020194,SYNCID0000015899,CA,AB,LEDUC,6399,1.0,94581.0,2022-11-03,,6399,Other Motor Vehicle Services n.e.c.
ABM00000000000017842,SYNCID0000014255,86.37,credit,false,CA,QC,MONTREAL,2022-11-01,13:04:59,ABM00000000000017842,SYNCID0000014255,CA,BC,VICTORIA,6593,1.0,0.0,2021-09-20,2021-12-31,6593,Art Galleries and Artists' Supply Stores
ABM00000000000016875,SYNCID0000013511,31467.11,credit,false,CA,ON,OAKVILLE,2022-11-01,14:05:07,ABM00000000000016875,SYNCID0000013511,CA,BC,KELOWNA,6221,1.0,174968.0,2017-10-18,2019-04-24,6221,"Appliance, Television, Radio and Stereo Stores"
ABM00000000000017083,SYNCID0000013650,541.52,credit,true,CA,BC,RICHMOND,2022-11-01,10:12:11,ABM00000000000017083,SYNCID0000013650,CA,ON,OAKVILLE,5919,,1514135.0,,,5919,"Other Waste Materials, Wholesale"
ABM00000000000017857,SYNCID0000014255,824.22,credit,true,CA,BC,RICHMOND,2022-11-01,23:36:08,ABM00000000000017857,SYNCID0000014255,CA,BC,VICTORIA,6593,1.0,0.0,2021-09-20,2021-12-31,6593,Art Galleries and Artists' Supply Stores
ABM00000000000000076,SYNCID0000000067,3102.54,credit,false,CA,QC,STJEROME,2022-11-01,21:05:30,ABM00000000000000076,SYNCID0000000067,CA,ON,OTTAWA,6231,6.0,734149.0,,2006-12-22,6231,Floor Covering Stores
ABM00000000000001091,SYNCID0000000825,2295.03,credit,false,CA,QC,STJEROME,2022-11-01,21:00:04,ABM00000000000001091,SYNCID0000000825,CA,SK,SASKATOON,5529,2.0,,,,5529,"Other Motor Vehicle Parts and Accessories, Wholesale"
ABM00000000000020437,SYNCID0000016007,2314.55,credit,false,CA,QC,STJEROME,2022-11-01,21:08:38,ABM00000000000020437,SYNCID0000016007,CA,ON,BURLINGTON,8665,,153517.0,2004-11-22,2004-12-06,8665,Offices of Physiotherapists-Occupational Therapists
ABM00000000000006959,SYNCID0000005289,2326.07,credit,false,CA,QC,STJEROME,2022-11-01,21:10:58,ABM00000000000006959,SYNCID0000005289,CA,ON,,4239,,0.0,2022-09-26,2022-11-18,4239,Other Exterior Close-In Work
ABM00000000000017063,SYNCID0000013650,1605.16,credit,false,CA,QC,STJEROME,2022-11-01,21:10:07,ABM00000000000017063,SYNCID0000013650,CA,ON,OAKVILLE,5919,,1514135.0,,,5919,"Other Waste Materials, Wholesale"
ABM00000000000002936,SYNCID0000002261,2613.3,credit,false,CA,QC,STJEROME,2022-11-01,21:01:32,ABM00000000000002936,SYNCID0000002261,CA,ON,PETERBOROUGH,3244,1.0,113378.0,1999-11-11,1999-12-10,3244,Mobile Home Industry
ABM00000000000006236,SYNCID0000004828,3484.07,credit,false,CA,QC,STJEROME,2022-11-01,21:01:51,ABM00000000000006236,SYNCID0000004828,CA,ON,CHATHAM,6581,1.0,1.0,,,6581,Toy and Hobby Stores
ABM00000000000009578,SYNCID0000007190,2675.91,credit,false,CA,QC,STJEROME,2022-11-01,20:58:50,ABM00000000000009578,SYNCID0000007190,CA,AB,EDMONTON,4589,0.0,0.0,2022-06-18,2022-10-19,4589,Other Transportation Industries n.e.c.
ABM00000000000017399,SYNCID0000013892,5290.03,credit,false,CA,QC,STJEROME,2022-11-01,20:53:52,ABM00000000000017399,SYNCID0000013892,CA,ON,MISSISSAUGA,4022,5.0,54672.0,2006-02-09,2006-05-31,4022,Commercial Building
ABM00000000000014904,SYNCID0000011994,1037.54,credit,true,CA,BC,VICTORIA,2022-11-01,11:36:27,ABM00000000000014904,SYNCID0000011994,CA,ON,THORNHILL,9651,3.0,383412.0,2009-06-17,2010-07-22,9651,Golf Courses
ABM00000000000006160,SYNCID0000004783,427.55,credit,true,CA,ON,WATERLOO,2022-11-01,17:27:32,ABM00000000000006160,SYNCID0000004783,CA,,other,8665,,56630.0,,2011-09-26,8665,Offices of Physiotherapists-Occupational Therapists
ABM00000000000015894,SYNCID0000012747,513.6,debit,true,CA,ON,WATERLOO,2022-11-01,14:22:38,ABM00000000000015894,SYNCID0000012747,CA,,other,4589,1.0,231124.0,,2017-08-23,4589,Other Transportation Industries n.e.c.
ABM00000000000008171,SYNCID0000006149,103.71,credit,true,CA,MB,WINNIPEG,2022-11-01,11:36:25,ABM00000000000008171,SYNCID0000006149,CA,,other,9821,,0.0,2019-04-18,,9821,Business Associations
ABM00000000000010494,SYNCID0000008122,1028.99,credit,true,CA,MB,WINNIPEG,2022-11-01,11:32:10,ABM00000000000010494,SYNCID0000008122,CA,ON,MISSISSAUGA,9642,1.0,60309.0,2019-06-15,2020-07-03,9642,Professional Athletes and Promoters on Own Account
ABM00000000000002245,SYNCID0000001703,292.58,credit,true,CA,MB,WINNIPEG,2022-11-01,11:44:25,ABM00000000000002245,SYNCID0000001703,CA,ON,WHITBY,4931,2.0,116237.0,2020-07-28,,4931,Water Systems Industry
ABM00000000000002934,SYNCID0000002257,1005.22,credit,true,CA,MB,WINNIPEG,2022-11-01,11:40:02,ABM00000000000002934,SYNCID0000002257,CA,,other,4224,4.0,417291.0,2005-05-07,2000-03-18,4224,Concrete Pouring and Finishing
ABM00000000000009400,SYNCID0000007158,104.35,credit,true,CA,MB,WINNIPEG,2022-11-01,11:45:53,ABM00000000000009400,SYNCID0000007158,CA,,other,6011,10.0,,2018-10-14,2020-11-25,6011,Food (Groceries) Stores
ABM00000000000002531,SYNCID0000001927,211.91,credit,true,CA,BC,COURTENAY,2022-11-01,19:39:27,ABM00000000000002531,SYNCID0000001927,CA,BC,PENTICTON,4276,,0.0,2020-09-18,,4276,Terrazzo and Tile Work
ABM00000000000011652,SYNCID0000009086,106.09,debit,true,CA,ON,PICKERING,2022-11-01,10:28:27,ABM00000000000011652,SYNCID0000009086,CA,AB,EDMONTON,1699,6.0,1834196.0,2011-05-16,,1699,Other Plastic Products Industries n.e.c.
ABM00000000000012744,SYNCID0000009996,106.75,credit,true,CA,BC,VANCOUVER,2022-11-01,23:41:10,ABM00000000000012744,SYNCID0000009996,CA,ON,,9711,1.0,,2021-09-20,2022-06-21,9711,Barber Shops
ABM00000000000011920,SYNCID0000009273,1236.44,credit,true,CA,ON,WOODBRIDGE,2022-11-01,19:31:22,ABM00000000000011920,SYNCID0000009273,CA,AB,EDMONTON,7752,1.0,0.0,2019-12-15,,7752,Offices of Engineers
ABM00000000000012031,SYNCID0000009408,14028.26,credit,false,CA,ON,MISSISSAUGA,2022-11-01,13:35:46,ABM00000000000012031,SYNCID0000009408,CA,BC,SURREY,5529,1.0,0.0,2018-02-05,2019-07-09,5529,"Other Motor Vehicle Parts and Accessories, Wholesale"
ABM00000000000009297,SYNCID0000007075,18773.92,credit,false,CA,ON,RICHMONDHILL,2022-11-01,17:13:59,ABM00000000000009297,SYNCID0000007075,CA,ON,TORONTO,9839,1.0,,2021-04-24,2021-10-09,9839,Other Professional Menbership Associations
ABM00000000000011353,SYNCID0000008801,312.24,credit,true,CA,ON,RICHMONDHILL,2022-11-01,19:20:15,ABM00000000000011353,SYNCID0000008801,CA,ON,ETOBICOKE,6562,1.0,14578.0,2022-09-01,2023-01-15,6562,Watch and Jewellery Repair Shops
ABM00000000000014695,SYNCID0000011780,1054.25,debit,true,CA,ON,STCATHARINES,2022-11-01,15:00:07,ABM00000000000014695,SYNCID0000011780,CA,NL,other,5793,2.0,77316.0,2011-03-01,2011-10-18,5793,"Professional Machinery, Equipment and Supplies, Wholesale"
ABM00000000000015792,SYNCID0000012676,1062.03,debit,true,,,,2022-11-02,05:57:30,ABM00000000000015792,SYNCID0000012676,CA,BC,PRINCE GEORGE,3244,1.0,,2007-03-24,2007-06-03,3244,Mobile Home Industry
ABM00000000000005845,SYNCID0000004509,150.65,debit,true,,,,2022-11-02,21:17:55,ABM00000000000005845,SYNCID0000004509,CA,AB,EDMONTON,6352,1.0,0.0,2023-10-01,2023-11-03,6352,Paint and Body Repair Shops
ABM00000000000009371,SYNCID0000007142,108.65,debit,true,,,,2022-11-02,15:46:02,ABM00000000000009371,SYNCID0000007142,CA,ON,BOLTON,9212,1.0,132263.0,2014-09-23,,9212,"Restaurants, Unlicensed (including Drive-Ins)"
ABM00000000000021749,SYNCID0000017163,401.17,debit,true,,,,2022-11-02,15:05:35,ABM00000000000021749,SYNCID0000017163,CA,BC,MISSION,4011,1.0,0.0,2017-10-01,2018-08-14,4011,Single Family Housing
ABM00000000000013164,SYNCID0000010388,1045.41,debit,true,CA,QC,LAVAL,2022-11-02,15:05:52,ABM00000000000013164,SYNCID0000010388,CA,QC,DORVAL,5981,4.0,308034.0,2022-11-29,2022-12-20,5981,"General Merchandise, Wholesale"
ABM00000000000016403,SYNCID0000013171,210.63,debit,true,CA,,other,2022-11-02,13:19:16,ABM00000000000016403,SYNCID0000013171,CA,ON,SUDBURY,4842,,0.0,2022-08-29,2022-08-31,4842,Courier Service Industry
ABM00000000000017091,SYNCID0000013650,1073.63,credit,true,CA,,other,2022-11-02,13:10:38,ABM00000000000017091,SYNCID0000013650,CA,ON,OAKVILLE,5919,,1514135.0,,,5919,"Other Waste Materials, Wholesale"
ABM00000000000019418,SYNCID0000015283,1064.24,credit,true,other,,other,2022-11-02,13:26:00,ABM00000000000019418,SYNCID0000015283,CA,,other,4224,2.0,274451.0,,1999-11-05,4224,Concrete Pouring and Finishing
ABM00000000000015195,SYNCID0000012270,1036.65,debit,true,CA,,other,2022-11-02,11:10:29,ABM00000000000015195,SYNCID0000012270,CA,ON,OTTAWA,8666,5.0,342218.0,2019-09-21,2023-05-12,8666,Offices of Optometrists
ABM00000000000021261,SYNCID0000016625,262.98,credit,false,other,,other,2022-11-02,18:33:47,ABM00000000000021261,SYNCID0000016625,CA,,other,3299,2.0,379372.0,2003-12-10,2003-12-18,3299,Other Transportation Equipment Industries
ABM00000000000017168,SYNCID0000013729,65.8,credit,true,other,,other,2022-11-02,08:47:26,ABM00000000000017168,SYNCID0000013729,CA,,other,6111,1.0,1272928.0,2000-06-15,2001-07-06,6111,Shoe Stores
ABM00000000000001666,SYNCID0000001247,479.9,debit,true,other,,other,2022-11-02,17:59:19,ABM00000000000001666,SYNCID0000001247,CA,ON,WINDSOR,6582,1.0,240302.0,2005-07-27,,6582,"Gift, Novelty and Souvenir Stores"
ABM00000000000005868,SYNCID0000004532,292.94,credit,true,other,,other,2022-11-02,19:06:12,ABM00000000000005868,SYNCID0000004532,CA,ON,GEORGETOWN,8671,1.0,110774.0,1997-09-14,2004-06-20,8671,Offices of Psychologists
ABM00000000000007608,SYNCID0000005798,1863.11,credit,false,other,,other,2022-11-02,19:11:55,ABM00000000000007608,SYNCID0000005798,CA,QC,BLAINVILLE,4279,1.0,,2005-03-15,2005-10-24,4279,Other Interior and Finishing Work
ABM00000000000008340,SYNCID0000006268,1080.14,debit,true,CA,,other,2022-11-02,07:54:29,ABM00000000000008340,SYNCID0000006268,CA,,other,5529,1.0,632631.0,2016-08-15,,5529,"Other Motor Vehicle Parts and Accessories, Wholesale"
ABM00000000000017093,SYNCID0000013650,102.72,debit,true,CA,,other,2022-11-02,11:52:38,ABM00000000000017093,SYNCID0000013650,CA,ON,OAKVILLE,5919,,1514135.0,,,5919,"Other Waste Materials, Wholesale"
ABM00000000000020847,SYNCID0000016351,1500.39,debit,true,CA,,other,2022-11-02,17:57:38,ABM00000000000020847,SYNCID0000016351,CA,BC,KELOWNA,4821,6.0,1215616.0,2000-05-03,2001-12-07,4821,Telecommunication Carriers Industry
